epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,70.5482,0.80592,1.21055,1.04072,0.56292,0.68392,0.69178,0.50315,0.99773,1.06601,1.23687,0.00047373,0.00047373,0.00047373
2,137.855,0.85687,0.83853,1.07451,0.8073,0.76212,0.84816,0.65193,0.97732,0.95358,1.23229,0.000940658,0.000940658,0.000940658
3,204.29,0.84164,0.81357,1.06753,0.82145,0.77032,0.89637,0.67961,0.9969,0.99531,1.2217,0.00139815,0.00139815,0.00139815
4,270.853,0.83881,0.78306,1.06723,0.83854,0.92634,0.9081,0.74011,0.858,0.70893,1.11129,0.00138656,0.00138656,0.00138656
5,337.233,0.80527,0.74491,1.05329,0.87921,0.95058,0.92677,0.73796,0.83712,0.6445,1.09375,0.00137241,0.00137241,0.00137241
6,403.592,0.75906,0.67681,1.02761,0.93282,0.92489,0.96729,0.7975,0.80341,0.54621,1.07485,0.00135826,0.00135826,0.00135826
7,470.207,0.74305,0.65846,1.02012,0.85772,0.91786,0.9642,0.78548,0.79912,0.54393,1.04109,0.00134412,0.00134412,0.00134412
8,536.574,0.72077,0.62475,1.01017,0.9303,0.92228,0.9625,0.79936,0.7383,0.51077,1.03996,0.00132997,0.00132997,0.00132997
9,603.126,0.70869,0.59902,1.00052,0.96419,0.94113,0.97217,0.83392,0.72215,0.47371,1.01739,0.00131582,0.00131582,0.00131582
10,669.778,0.69494,0.59292,0.99808,0.94897,0.95778,0.97627,0.84554,0.67406,0.43344,1.01389,0.00130168,0.00130168,0.00130168
11,736.435,0.67718,0.57666,0.98707,0.93145,0.94714,0.96157,0.8205,0.67493,0.47612,1.00097,0.00128753,0.00128753,0.00128753
12,802.79,0.65835,0.56101,0.98004,0.96223,0.93308,0.96803,0.83211,0.68343,0.45138,1.01987,0.00127338,0.00127338,0.00127338
13,869.141,0.64777,0.55638,0.97621,0.96522,0.95695,0.97647,0.84096,0.70148,0.42296,0.99561,0.00125923,0.00125923,0.00125923
14,935.355,0.6502,0.53572,0.97553,0.95468,0.95635,0.97218,0.83497,0.71123,0.42964,1.03808,0.00124509,0.00124509,0.00124509
15,1001.61,0.62804,0.52406,0.9658,0.94017,0.97173,0.96616,0.84924,0.63274,0.40896,0.98387,0.00123094,0.00123094,0.00123094
16,1068.01,0.62506,0.52761,0.96941,0.9656,0.94597,0.97508,0.84945,0.64781,0.41243,0.99577,0.00121679,0.00121679,0.00121679
17,1134.67,0.62696,0.5162,0.96661,0.95758,0.96236,0.97738,0.85235,0.62895,0.39513,0.97327,0.00120265,0.00120265,0.00120265
18,1201.26,0.61077,0.5044,0.95709,0.95591,0.96704,0.97615,0.85679,0.62716,0.38476,0.99205,0.0011885,0.0011885,0.0011885
19,1267.83,0.61142,0.50803,0.95922,0.96446,0.96236,0.97553,0.86669,0.59548,0.38683,0.95319,0.00117435,0.00117435,0.00117435
20,1334.26,0.599,0.4901,0.95355,0.96906,0.95718,0.97879,0.8675,0.62043,0.37597,0.98213,0.00116021,0.00116021,0.00116021
21,1400.72,0.59695,0.48821,0.95383,0.97267,0.94114,0.97626,0.85777,0.64222,0.40215,0.98229,0.00114606,0.00114606,0.00114606
22,1467.03,0.59584,0.48535,0.9551,0.96678,0.96236,0.98037,0.86638,0.62189,0.37403,0.98378,0.00113191,0.00113191,0.00113191
23,1533.43,0.58607,0.47159,0.94248,0.96592,0.96119,0.98117,0.86776,0.61504,0.37506,0.98365,0.00111776,0.00111776,0.00111776
24,1599.78,0.58106,0.46212,0.94454,0.97292,0.95701,0.97389,0.86037,0.61308,0.37336,0.97985,0.00110362,0.00110362,0.00110362
25,1666.11,0.58364,0.46938,0.94857,0.9582,0.9748,0.97672,0.87282,0.59636,0.36804,0.97458,0.00108947,0.00108947,0.00108947
26,1732.44,0.58,0.46692,0.9425,0.97566,0.96933,0.97981,0.86956,0.59566,0.35166,0.96306,0.00107532,0.00107532,0.00107532
27,1798.61,0.57611,0.45509,0.93988,0.96849,0.96704,0.97932,0.87054,0.59287,0.35674,0.97962,0.00106118,0.00106118,0.00106118
